timestamp_utc,elapsed_sec,private_bytes,managed_heap_bytes,gen0,gen1,gen2,total_points_delivered,route_event_log_live,route_event_log_dropped,bp_event_log_live,bp_event_log_dropped,sink_event_log_live,sink_event_log_dropped
2026-04-08T23:36:50.1860265Z,0.0,16084992,3058792,0,0,0,200,2,0,0,0,0,0
2026-04-08T23:37:50.1903209Z,60.0,20398080,4426872,74,6,1,114800,2,0,0,0,0,0
2026-04-08T23:38:50.1894571Z,120.0,20176896,4299264,148,12,2,229600,2,0,0,0,0,0
2026-04-08T23:39:50.1896197Z,180.0,20402176,5347096,222,22,2,344100,2,0,0,0,0,0
2026-04-08T23:40:50.1904243Z,240.0,20451328,1738672,297,38,3,458300,2,0,0,0,0,0
2026-04-08T23:41:50.1903988Z,300.0,20398080,5368224,371,53,3,573500,2,0,0,0,0,0
2026-04-08T23:42:50.1894504Z,360.0,22286336,2374480,446,67,4,688100,2,0,0,0,0,0
2026-04-08T23:43:50.1985607Z,420.0,22282240,3879584,520,80,5,802500,2,0,0,0,0,0
2026-04-08T23:44:50.1979647Z,480.0,22274048,5160136,591,96,5,912500,2,0,0,0,0,0
2026-04-08T23:45:50.1913988Z,540.0,22327296,2969840,663,110,6,1022500,2,0,0,0,0,0
2026-04-08T23:46:50.1890775Z,600.0,22339584,5419408,734,119,6,1132700,2,0,0,0,0,0
2026-04-08T23:47:50.1870968Z,660.0,22491136,2319736,785,128,7,1210200,2,0,0,0,0,0
2026-04-08T23:48:50.1915712Z,720.0,22499328,5595904,820,131,7,1265300,2,0,0,0,0,0
2026-04-08T23:49:50.1947014Z,780.0,22994944,4305560,856,135,8,1320300,2,0,0,0,0,0
2026-04-08T23:50:50.1966437Z,840.0,22573056,3482488,892,138,8,1375400,2,0,0,0,0,0
2026-04-08T23:51:50.1967385Z,900.0,23011328,2125408,928,145,8,1430400,2,0,0,0,0,0
2026-04-08T23:52:50.1911548Z,960.0,22589440,5264624,963,149,9,1485400,2,0,0,0,0,0
2026-04-08T23:53:50.1970670Z,1020.0,23609344,3765568,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:54:50.1860224Z,1080.0,23793664,4083720,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:55:50.1868174Z,1140.0,24584192,4402840,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:56:50.1935530Z,1200.0,24444928,4729880,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:57:50.2004112Z,1260.0,24469504,5064784,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:58:50.1932804Z,1320.0,24453120,5383536,975,151,9,1503100,2,0,0,0,0,0
2026-04-08T23:59:50.1886258Z,1380.0,24449024,5726632,975,151,9,1503100,2,0,0,0,0,0
