timestamp_utc,elapsed_sec,private_bytes,managed_heap_bytes,gen0,gen1,gen2,total_points_delivered,route_event_log_live,route_event_log_dropped,bp_event_log_live,bp_event_log_dropped,sink_event_log_live,sink_event_log_dropped
2026-04-09T04:46:29.5273117Z,0.0,16142336,3036512,0,0,0,200,2,0,0,0,0,0
2026-04-09T04:47:29.5400173Z,60.0,20119552,4674528,71,6,1,110200,2,0,0,0,0,0
2026-04-09T04:48:29.5384374Z,120.0,20099072,2804488,143,12,2,220400,2,0,0,0,0,0
2026-04-09T04:49:29.5406958Z,180.0,20185088,4682624,214,19,2,330400,2,0,0,0,0,0
2026-04-09T04:50:29.5366371Z,240.0,22646784,3437624,287,29,3,442300,2,0,0,0,0,0
2026-04-09T04:51:29.5375118Z,300.0,22425600,4542760,361,45,3,556700,2,0,0,0,0,0
2026-04-09T04:52:29.5378514Z,360.0,22347776,4822704,435,60,4,670900,2,0,0,0,0,0
2026-04-09T04:53:29.5289988Z,420.0,22159360,4887104,509,75,5,785500,2,0,0,0,0,0
2026-04-09T04:54:29.5297040Z,480.0,22335488,1563752,583,84,5,898300,2,0,0,0,0,0
2026-04-09T04:55:29.5304664Z,540.0,22339584,4547872,656,97,6,1011900,2,0,0,0,0,0
2026-04-09T04:56:29.5395762Z,600.0,22319104,2187448,730,107,6,1125100,2,0,0,0,0,0
2026-04-09T04:57:29.5383819Z,660.0,22401024,2940056,804,123,7,1239300,2,0,0,0,0,0
2026-04-09T04:58:29.5394272Z,720.0,22188032,1968072,878,135,8,1353100,2,0,0,0,0,0
2026-04-09T04:59:29.5407304Z,780.0,22261760,4732216,951,149,8,1466800,2,0,0,0,0,0
2026-04-09T05:00:29.5365912Z,840.0,20684800,1942200,1026,165,9,1581300,2,0,0,0,0,0
2026-04-09T05:01:29.5383951Z,900.0,21000192,2108160,1100,177,9,1695700,2,0,0,0,0,0
2026-04-09T05:02:29.5393982Z,960.0,20234240,3232200,1174,194,10,1810100,2,0,0,0,0,0
2026-04-09T05:03:29.5282466Z,1020.0,20811776,4544776,1247,206,11,1923100,2,0,0,0,0,0
2026-04-09T05:04:29.5416364Z,1080.0,20574208,2513248,1319,217,11,2033100,2,0,0,0,0,0
2026-04-09T05:05:29.5343390Z,1140.0,20934656,4117352,1390,233,12,2143100,2,0,0,0,0,0
2026-04-09T05:06:29.5329107Z,1200.0,20553728,5422672,1461,243,12,2252900,2,0,0,0,0,0
2026-04-09T05:07:29.5333529Z,1260.0,20807680,3426656,1533,256,13,2363100,2,0,0,0,0,0
2026-04-09T05:08:29.5315077Z,1320.0,20865024,1847792,1605,269,14,2473300,2,0,0,0,0,0
2026-04-09T05:09:29.5367629Z,1380.0,20721664,4651560,1676,279,14,2583700,2,0,0,0,0,0
2026-04-09T05:10:29.5408887Z,1440.0,20709376,2822000,1748,294,15,2693900,2,0,0,0,0,0
2026-04-09T05:11:29.5334415Z,1500.0,21561344,4719032,1819,307,15,2803900,2,0,0,0,0,0
2026-04-09T05:12:29.5360739Z,1560.0,20930560,2518464,1891,321,16,2913900,2,0,0,0,0,0
2026-04-09T05:13:29.5299290Z,1620.0,20733952,4717288,1962,336,16,3024100,2,0,0,0,0,0
2026-04-09T05:14:29.5307499Z,1680.0,20963328,3241040,2034,345,17,3134300,2,0,0,0,0,0
2026-04-09T05:15:29.5381724Z,1740.0,20779008,5700376,2105,355,18,3244500,2,0,0,0,0,0
2026-04-09T05:16:29.5352395Z,1800.0,21082112,3806424,2177,370,18,3354700,2,0,0,0,0,0
2026-04-09T05:17:29.5366105Z,1860.0,20873216,2335872,2249,378,19,3464900,2,0,0,0,0,0
2026-04-09T05:18:29.5404501Z,1920.0,20877312,4971712,2320,392,19,3575100,2,0,0,0,0,0
2026-04-09T05:19:29.5343593Z,1980.0,20819968,4720256,2394,407,20,3689100,2,0,0,0,0,0
2026-04-09T05:20:29.5356678Z,2040.0,21405696,2681000,2468,420,21,3802300,2,0,0,0,0,0
2026-04-09T05:21:29.5383937Z,2100.0,20836352,4041024,2541,432,21,3915300,2,0,0,0,0,0
2026-04-09T05:22:29.5411276Z,2160.0,21499904,5139584,2613,449,22,4028300,2,0,0,0,0,0
2026-04-09T05:23:29.5356062Z,2220.0,21114880,5263152,2686,457,22,4141700,2,0,0,0,0,0
2026-04-09T05:24:29.5347228Z,2280.0,21028864,2876456,2760,468,23,4254700,2,0,0,0,0,0
2026-04-09T05:25:29.5273255Z,2340.0,21172224,5633376,2833,481,24,4368100,2,0,0,0,0,0
2026-04-09T05:26:29.5322339Z,2400.0,23887872,3035360,2907,491,24,4481100,2,0,0,0,0,0
2026-04-09T05:27:29.5273600Z,2460.0,23879680,2215656,2980,507,25,4593300,2,0,0,0,0,0
2026-04-09T05:28:29.5286437Z,2520.0,23859200,5561880,3053,519,25,4706900,2,0,0,0,0,0
2026-04-09T05:29:29.5381204Z,2580.0,23887872,5550672,3125,535,26,4817700,2,0,0,0,0,0
2026-04-09T05:30:29.5273080Z,2640.0,23814144,4806304,3196,547,27,4926900,2,0,0,0,0,0
2026-04-09T05:31:29.5316592Z,2700.0,23781376,2876352,3268,556,27,5036900,2,0,0,0,0,0
2026-04-09T05:32:29.5411620Z,2760.0,23670784,3347288,3339,569,28,5146500,2,0,0,0,0,0
2026-04-09T05:33:29.5273080Z,2820.0,23613440,3149048,3410,581,28,5255600,2,0,0,0,0,0
2026-04-09T05:34:29.5355468Z,2880.0,23846912,5294312,3483,595,29,5369500,2,0,0,0,0,0
2026-04-09T05:35:29.5345693Z,2940.0,23584768,3731416,3558,609,30,5484500,2,0,0,0,0,0
2026-04-09T05:36:29.5328542Z,3000.0,23871488,5507896,3632,618,30,5599100,2,0,0,0,0,0
2026-04-09T05:37:29.5357740Z,3060.0,28856320,4324528,3706,631,31,5713100,2,0,0,0,0,0
2026-04-09T05:38:29.5356098Z,3120.0,24195072,2150736,3781,641,31,5827900,2,0,0,0,0,0
2026-04-09T05:39:29.5353918Z,3180.0,23932928,3376592,3855,655,32,5942500,2,0,0,0,0,0
2026-04-09T05:40:29.5365840Z,3240.0,23867392,3454272,3929,664,33,6056500,2,0,0,0,0,0
2026-04-09T05:41:29.5358128Z,3300.0,23896064,4585696,4003,677,33,6170900,2,0,0,0,0,0
2026-04-09T05:42:29.5327676Z,3360.0,23953408,1356656,4078,694,34,6285300,2,0,0,0,0,0
2026-04-09T05:43:29.5356046Z,3420.0,23859200,4564096,4151,706,34,6399500,2,0,0,0,0,0
2026-04-09T05:44:29.5330264Z,3480.0,23937024,5009560,4225,721,35,6513700,2,0,0,0,0,0
2026-04-09T05:45:29.5343438Z,3540.0,23748608,3160400,4298,732,36,6625400,2,0,0,0,0,0
2026-04-09T05:46:29.5348013Z,3600.0,24199168,3443320,4369,746,36,6734800,2,0,0,0,0,0
2026-04-09T05:47:29.5357227Z,3660.0,24055808,5788616,4439,759,37,6843400,2,0,0,0,0,0
2026-04-09T05:48:29.5409066Z,3720.0,23973888,2375120,4511,771,37,6953200,2,0,0,0,0,0
2026-04-09T05:49:29.5407734Z,3780.0,23965696,5705448,4583,782,38,7065300,2,0,0,0,0,0
2026-04-09T05:50:29.5400618Z,3840.0,23973888,4681544,4655,794,39,7176000,2,0,0,0,0,0
2026-04-09T05:51:29.5309980Z,3900.0,23965696,2061368,4727,809,39,7285800,2,0,0,0,0,0
2026-04-09T05:52:29.5292441Z,3960.0,24023040,3216416,4798,823,40,7395800,2,0,0,0,0,0
2026-04-09T05:53:29.5322955Z,4020.0,23678976,5323120,4869,837,40,7505800,2,0,0,0,0,0
2026-04-09T05:54:29.5320107Z,4080.0,23736320,2384592,4941,848,41,7615600,2,0,0,0,0,0
2026-04-09T05:55:29.5273080Z,4140.0,24023040,5189552,5012,860,42,7725800,2,0,0,0,0,0
2026-04-09T05:56:29.5365134Z,4200.0,23994368,3371328,5084,872,42,7836000,2,0,0,0,0,0
2026-04-09T05:57:29.5353602Z,4260.0,23842816,4653720,5155,881,43,7945800,2,0,0,0,0,0
2026-04-09T05:58:29.5273805Z,4320.0,23851008,2390248,5227,894,43,8055800,2,0,0,0,0,0
2026-04-09T05:59:29.5355914Z,4380.0,23920640,4361416,5298,907,44,8166200,2,0,0,0,0,0
2026-04-09T06:00:29.5286550Z,4440.0,23883776,5738232,5369,923,45,8276200,2,0,0,0,0,0
2026-04-09T06:01:29.5277163Z,4500.0,23851008,2821768,5441,937,45,8386200,2,0,0,0,0,0
2026-04-09T06:02:29.5380957Z,4560.0,23937024,4736664,5512,951,46,8496200,2,0,0,0,0,0
2026-04-09T06:03:29.5301618Z,4620.0,23875584,3035056,5584,966,46,8606400,2,0,0,0,0,0
2026-04-09T06:04:29.5342605Z,4680.0,24027136,5452928,5655,976,47,8716600,2,0,0,0,0,0
2026-04-09T06:05:29.5287678Z,4740.0,23793664,2976904,5727,988,48,8826400,2,0,0,0,0,0
2026-04-09T06:06:29.5315893Z,4800.0,23896064,2086888,5799,1000,48,8937000,2,0,0,0,0,0
2026-04-09T06:07:29.5366684Z,4860.0,23941120,5534104,5871,1013,49,9049400,2,0,0,0,0,0
2026-04-09T06:08:29.5345566Z,4920.0,24035328,4939728,5942,1022,49,9159400,2,0,0,0,0,0
2026-04-09T06:09:29.5340042Z,4980.0,23994368,1820448,6015,1031,50,9270800,2,0,0,0,0,0
2026-04-09T06:10:29.5357751Z,5040.0,23961600,1858328,6089,1043,51,9384800,2,0,0,0,0,0
2026-04-09T06:11:29.5368563Z,5100.0,23986176,3054440,6163,1056,51,9499400,2,0,0,0,0,0
2026-04-09T06:12:29.5318910Z,5160.0,24027136,2813040,6237,1069,52,9613800,2,0,0,0,0,0
2026-04-09T06:13:29.5348718Z,5220.0,23879680,4826824,6311,1079,52,9728400,2,0,0,0,0,0
2026-04-09T06:14:29.5348560Z,5280.0,24018944,5479096,6385,1091,53,9842600,2,0,0,0,0,0
2026-04-09T06:15:29.5277737Z,5340.0,24047616,1816768,6458,1104,54,9953600,2,0,0,0,0,0
2026-04-09T06:16:29.5363317Z,5400.0,23969792,4630360,6529,1115,54,10064000,2,0,0,0,0,0
2026-04-09T06:17:29.5308011Z,5460.0,23883776,1696072,6601,1129,55,10173800,2,0,0,0,0,0
2026-04-09T06:18:29.5415125Z,5520.0,24031232,3881744,6672,1141,55,10283800,2,0,0,0,0,0
2026-04-09T06:19:29.5324868Z,5580.0,23990272,5309280,6743,1155,56,10393600,2,0,0,0,0,0
2026-04-09T06:20:29.5300264Z,5640.0,24035328,3449336,6815,1168,57,10503800,2,0,0,0,0,0
2026-04-09T06:21:29.5302401Z,5700.0,23932928,4709904,6886,1180,57,10613600,2,0,0,0,0,0
2026-04-09T06:22:29.5274521Z,5760.0,23793664,1674368,6958,1194,58,10723400,2,0,0,0,0,0
2026-04-09T06:23:29.5348645Z,5820.0,23834624,3682096,7029,1204,58,10833400,2,0,0,0,0,0
2026-04-09T06:24:29.5338523Z,5880.0,23965696,1784872,7101,1214,59,10943400,2,0,0,0,0,0
2026-04-09T06:25:29.5317775Z,5940.0,24027136,3238928,7172,1225,60,11053400,2,0,0,0,0,0
2026-04-09T06:26:29.5352326Z,6000.0,24023040,1564992,7244,1235,60,11163600,2,0,0,0,0,0
2026-04-09T06:27:29.5286599Z,6060.0,24018944,3995040,7315,1249,61,11273800,2,0,0,0,0,0
2026-04-09T06:28:29.5306047Z,6120.0,23932928,1558232,7387,1261,61,11383800,2,0,0,0,0,0
2026-04-09T06:29:29.5401402Z,6180.0,24006656,3851568,7458,1274,62,11494000,2,0,0,0,0,0
2026-04-09T06:30:29.5370949Z,6240.0,23883776,5331552,7529,1285,62,11604000,2,0,0,0,0,0
2026-04-09T06:31:29.5357721Z,6300.0,23998464,3758656,7601,1298,63,11714200,2,0,0,0,0,0
2026-04-09T06:32:29.5402619Z,6360.0,24047616,2735552,7673,1311,64,11824600,2,0,0,0,0,0
2026-04-09T06:33:29.5444217Z,6420.0,23785472,3876040,7744,1323,64,11934600,2,0,0,0,0,0
2026-04-09T06:34:29.5397529Z,6480.0,23998464,2424632,7816,1331,65,12044800,2,0,0,0,0,0
2026-04-09T06:35:29.5337065Z,6540.0,24002560,4015232,7887,1346,65,12154800,2,0,0,0,0,0
2026-04-09T06:36:29.5407107Z,6600.0,23969792,2307480,7959,1359,66,12265000,2,0,0,0,0,0
2026-04-09T06:37:29.5387900Z,6660.0,24027136,4466312,8030,1372,67,12375000,2,0,0,0,0,0
2026-04-09T06:38:29.5409827Z,6720.0,24096768,1806632,8102,1385,67,12484800,2,0,0,0,0,0
2026-04-09T06:39:29.5337157Z,6780.0,24031232,3793336,8173,1395,68,12595000,2,0,0,0,0,0
2026-04-09T06:40:29.5372657Z,6840.0,24121344,2089120,8245,1407,68,12705200,2,0,0,0,0,0
2026-04-09T06:41:29.5312796Z,6900.0,24055808,4990944,8317,1419,69,12817500,2,0,0,0,0,0
2026-04-09T06:42:29.5323153Z,6960.0,24006656,3175640,8391,1430,70,12930900,2,0,0,0,0,0
2026-04-09T06:43:29.5331840Z,7020.0,23961600,4266144,8464,1442,70,13043700,2,0,0,0,0,0
2026-04-09T06:44:29.5289920Z,7080.0,24035328,4983808,8538,1455,71,13157900,2,0,0,0,0,0
2026-04-09T06:45:29.5377635Z,7140.0,23769088,4578832,8612,1473,71,13271700,2,0,0,0,0,0
2026-04-09T06:46:29.5369177Z,7200.0,23969792,3808968,8686,1485,72,13385900,2,0,0,0,0,0
2026-04-09T06:47:29.5407032Z,7260.0,24342528,2543704,8756,1497,73,13493000,2,0,0,0,0,0
2026-04-09T06:48:29.5365835Z,7320.0,24338432,2108872,8793,1500,73,13549900,2,0,0,0,0,0
2026-04-09T06:49:29.5288863Z,7380.0,24391680,2909056,8829,1503,73,13605700,2,0,0,0,0,0
2026-04-09T06:50:29.5483029Z,7440.0,24383488,2977560,8865,1507,74,13661300,2,0,0,0,0,0
2026-04-09T06:51:29.5290466Z,7500.0,24322048,3357752,8901,1511,74,13716900,2,0,0,0,0,0
2026-04-09T06:55:08.2341821Z,7718.7,24772608,2818080,8937,1514,74,13772200,2,0,0,0,0,0
2026-04-09T06:55:08.3288112Z,7718.8,24772608,2818080,8937,1514,74,13772200,2,0,0,0,0,0
2026-04-09T06:55:08.3743843Z,7718.8,24772608,3097528,8937,1514,74,13772300,2,0,0,0,0,0
2026-04-09T06:55:29.5363595Z,7740.0,24178688,3745784,8949,1516,75,13791100,2,0,0,0,0,0
2026-04-09T06:56:29.5389638Z,7800.0,24412160,2344400,8986,1522,75,13847700,2,0,0,0,0,0
2026-04-09T06:57:29.5273080Z,7860.0,24428544,4942744,9022,1528,75,13904200,2,0,0,0,0,0
2026-04-09T06:58:29.5409306Z,7920.0,24399872,4657744,9059,1531,76,13961000,2,0,0,0,0,0
2026-04-09T06:59:29.5310215Z,7980.0,24203264,4197040,9096,1537,76,14018000,2,0,0,0,0,0
2026-04-09T07:00:29.5295039Z,8040.0,24203264,3743144,9133,1543,76,14074900,2,0,0,0,0,0
2026-04-09T07:01:29.5340484Z,8100.0,24178688,2984104,9170,1548,77,14131700,2,0,0,0,0,0
2026-04-09T07:02:29.5333176Z,8160.0,24268800,2190080,9207,1554,77,14188500,2,0,0,0,0,0
2026-04-09T07:03:29.5305119Z,8220.0,24313856,5920184,9243,1558,77,14245300,2,0,0,0,0,0
2026-04-09T07:04:29.5342993Z,8280.0,24035328,5909680,9280,1563,78,14302400,2,0,0,0,0,0
2026-04-09T07:05:29.5336345Z,8340.0,24215552,5273184,9317,1567,78,14359200,2,0,0,0,0,0
2026-04-09T07:06:29.5315090Z,8400.0,24301568,4865192,9354,1572,78,14416100,2,0,0,0,0,0
2026-04-09T07:07:29.5391243Z,8460.0,24281088,5635088,9390,1577,79,14471900,2,0,0,0,0,0
2026-04-09T07:08:29.5319752Z,8520.0,24236032,4268920,9426,1582,79,14526900,2,0,0,0,0,0
2026-04-09T07:09:29.5307868Z,8580.0,24240128,3065512,9462,1588,80,14582000,2,0,0,0,0,0
