timestamp_utc,elapsed_sec,private_bytes,managed_heap_bytes,gen0,gen1,gen2,total_points_delivered,route_event_log_live,route_event_log_dropped,bp_event_log_live,bp_event_log_dropped,sink_event_log_live,sink_event_log_dropped
2026-04-08T23:16:42.0642368Z,0.0,15974400,3144680,0,0,0,200,2,0,0,0,0,0
2026-04-08T23:16:52.0649719Z,10.0,20901888,4052112,12,1,0,19200,2,0,0,0,0,0
2026-04-08T23:17:02.0642319Z,20.0,20148224,5643192,24,2,1,38300,2,0,0,0,0,0
2026-04-08T23:17:12.0642319Z,30.0,20082688,3565872,37,3,1,57500,2,0,0,0,0,0
2026-04-08T23:17:22.0642328Z,40.0,20307968,4834400,49,4,1,76500,2,0,0,0,0,0
2026-04-08T23:17:32.0654424Z,50.0,19914752,2687264,62,5,1,95700,2,0,0,0,0,0
2026-04-08T23:17:42.0645158Z,60.0,20074496,4684440,74,6,1,114900,2,0,0,0,0,0
2026-04-08T23:17:52.0646180Z,70.0,20275200,5588264,86,7,1,133700,2,0,0,0,0,0
2026-04-08T23:18:02.0657738Z,80.0,20078592,3124016,99,8,1,152900,2,0,0,0,0,0
2026-04-08T23:18:12.0642318Z,90.0,20045824,4620544,111,9,1,171900,2,0,0,0,0,0
2026-04-08T23:18:22.0642318Z,100.0,20148224,2401056,124,10,1,191100,2,0,0,0,0,0
2026-04-08T23:18:32.0696013Z,110.0,23289856,4206304,136,11,1,210300,2,0,0,0,0,0
